,Bedroom,Bathroom,Toilet,Price,TypeOfHouse,Totalrooms
0,3.0,3.0,4.0,1200000.0,0,10.0
1,4.0,4.0,5.0,1250000.0,1,13.0
2,4.0,5.0,6.0,2300000.0,1,15.0
3,4.0,4.0,5.0,2800000.0,1,13.0
4,4.0,4.0,5.0,2800000.0,1,13.0
6,2.0,2.0,3.0,850000.0,0,7.0
7,2.0,2.0,3.0,850000.0,0,7.0
8,4.0,4.0,5.0,2500000.0,1,13.0
9,3.0,3.0,4.0,2500000.0,0,10.0
10,2.0,2.0,3.0,750000.0,0,7.0
11,3.0,4.0,4.0,1000000.0,0,11.0
12,3.0,3.0,4.0,1100000.0,0,10.0
14,4.0,4.0,5.0,1800000.0,1,13.0
15,3.0,3.0,4.0,1200000.0,0,10.0
16,1.0,1.0,1.0,250000.0,0,3.0
17,1.0,1.0,1.0,250000.0,0,3.0
18,1.0,1.0,1.0,300000.0,0,3.0
19,1.0,1.0,2.0,350000.0,0,4.0
20,3.0,3.0,4.0,1400000.0,0,10.0
21,3.0,3.0,4.0,1700000.0,1,10.0
22,3.0,3.0,4.0,1400000.0,0,10.0
23,6.0,8.0,6.0,2500000.0,1,20.0
24,3.0,3.0,4.0,2000000.0,1,10.0
25,1.0,1.0,1.0,550000.0,0,3.0
27,3.0,4.0,4.0,1200000.0,1,11.0
28,2.0,1.0,3.0,1000000.0,0,6.0
29,5.0,5.0,6.0,2800000.0,1,16.0
30,3.0,4.0,4.0,1000000.0,0,11.0
31,1.0,1.0,1.0,300000.0,0,3.0
32,5.0,5.0,6.0,2800000.0,1,16.0
34,4.0,4.0,5.0,2800000.0,1,13.0
35,4.0,4.0,6.0,2000000.0,0,14.0
36,1.0,1.0,1.0,350000.0,0,3.0
37,3.0,4.0,4.0,1000000.0,0,11.0
38,4.0,4.0,5.0,2500000.0,1,13.0
39,3.0,3.0,3.0,1500000.0,0,9.0
40,3.0,3.0,4.0,1000000.0,0,10.0
41,2.0,2.0,2.0,600000.0,0,6.0
42,2.0,2.0,3.0,1200000.0,0,7.0
43,2.0,2.0,3.0,2800000.0,0,7.0
44,1.0,1.0,1.0,250000.0,0,3.0
45,1.0,1.0,2.0,400000.0,0,4.0
46,2.0,3.0,3.0,800000.0,0,8.0
47,1.0,1.0,1.0,400000.0,0,3.0
48,1.0,2.0,2.0,500000.0,0,5.0
49,4.0,4.0,5.0,1800000.0,1,13.0
50,4.0,4.0,5.0,2800000.0,1,13.0
51,3.0,3.0,4.0,1300000.0,0,10.0
52,4.0,4.0,5.0,2500000.0,1,13.0
54,3.0,3.0,4.0,650000.0,0,10.0
55,2.0,3.0,4.0,700000.0,0,9.0
56,3.0,2.0,2.0,600000.0,0,7.0
57,3.0,3.0,4.0,1200000.0,0,10.0
58,3.0,3.0,3.0,1000000.0,0,9.0
59,1.0,1.0,1.0,550000.0,0,3.0
61,4.0,4.0,5.0,2200000.0,1,13.0
62,2.0,2.0,3.0,900000.0,0,7.0
